Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Successful 50/50s,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Shots,Shooting accuracy %,Big chances missed,Saves,Penalties saved,mod name,age,nationality,value_eur,overall,Season,Arial Saves,Duels %,Aerial battles %
Defender,16,6.0,19.0,35.0,74,0.0,7.0,12.0,39.0,16.0,0.0,69.0,6.0,0.0,0.0,0,783,48.94,0.0,51.0,20,1.0,35.0,1,0,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Alberto Moreno,32,Spain,450000,67,2017-18,0.0,58.97435897435897,37.03703703703704
Midfielder,34,0.0,0.0,52.0,63,0.0,11.0,27.0,25.0,11.0,0.0,172.0,52.0,0.0,0.0,7,1005,29.56,8.0,217.0,18,11.0,76.0,5,1,20,2.0,2,0.0,2.0,0.0,0.0,0.06,20.0,30,1.0,0.0,0.0,Marc Albrighton,27,England,9500000,77,2017-18,0.0,48.122866894197955,42.30769230769231
Defender,14,5.0,13.0,19.0,68,0.0,1.0,4.0,50.0,31.0,0.0,57.0,6.0,0.0,0.0,0,915,65.36,0.0,7.0,29,1.0,111.0,3,0,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Toby Alderweireld,28,Belgium,40500000,86,2017-18,0.0,47.05882352941177,32.55813953488372
Defender,19,6.0,18.0,37.0,68,0.0,1.0,28.0,39.0,11.0,0.0,133.0,20.0,0.0,0.0,1,1007,53.0,3.0,102.0,17,3.0,75.0,3,0,12,3.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Trent Alexander-Arnold,18,England,1900000,69,2017-18,0.0,47.72727272727273,22.727272727272727
Defender,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Ali Gabr,30,Egypt,0,67,2017-18,0.0,0.0,0.0
Midfielder,36,0.0,0.0,96.0,65,0.0,9.0,58.0,54.0,27.0,0.0,244.0,44.0,0.0,0.0,6,1358,37.72,4.0,37.0,30,3.0,44.0,8,0,49,0.0,2,0.0,1.0,1.0,0.0,0.06,24.0,17,1.0,0.0,0.0,Joe Allen,27,Wales,10000000,77,2017-18,0.0,47.77070063694268,37.11340206185567
Goalkeeper,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Ryan Allsop,25,England,525000,65,2017-18,0.0,0.0,0.0
Defender,8,3.0,7.0,8.0,50,0.0,0.0,7.0,16.0,9.0,0.0,30.0,4.0,0.0,0.0,0,250,31.25,0.0,0.0,0,0.0,11.0,0,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Daniel Amartey,22,Ghana,8000000,75,2017-18,0.0,58.0,58.8235294117647
Midfielder,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Luke Amos,20,England,325000,60,2017-18,0.0,0.0,0.0
Defender,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Tom Anderson,23,England,500000,64,2017-18,0.0,0.0,0.0
