Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,mod name,age,nationality,value_eur,overall,Season
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Abdul Baba,24,Ghana,6500000,74,2019-20
Forward,34,,,8.0,,,14.0,6.0,27.0,23.0,,,,,,,,,,3,407,11.97,3.0,11.0,,,,2,0,17,23.0,15,3.0,12.0,0.0,3.0,0.44,0.0,0.0,88.0,40.0,45%,22.0,,,,,,,,,Tammy Abraham,21,England,12000000,76,2019-20
Forward,30,,,6.0,,,14.0,2.0,9.0,3.0,,,,,,,,,,2,248,8.27,5.0,13.0,,,,0,0,17,10.0,4,0.0,4.0,0.0,1.0,0.13,0.0,0.0,36.0,10.0,28%,8.0,,,,,,,,,Che Adams,22,England,8000000,74,2019-20
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Albert Adomah,31,Ghana,2700000,72,2019-20
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Adrien Silva,30,Portugal,9500000,78,2019-20
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Daniel Adshead,17,England,300000,59,2019-20
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Benik Afobe,26,DR Congo,2900000,71,2019-20
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Soufyan Ahannach,23,Netherlands,750000,65,2019-20
Forward,9,,,1.0,,,2.0,0.0,0.0,0.0,,,,,,,,,,0,15,1.67,0.0,0.0,,,,0,0,6,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0%,0.0,,,,,,,,,Albian Ajeti,22,Switzerland,8500000,74,2019-20
Defender,29,4.0,46.0,31.0,68%,0.0,6.0,36.0,147.0,78.0,0.0,140.0,107.0,83.0,3.0,62.0,63.0,0.0,0.0,2,"1,210",41.72,2.0,5.0,0%,1.0,53.0,2,0,9,3.0,2,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,Nathan Aké,24,Netherlands,17500000,80,2019-20
Midfielder,20,,,24.0,71%,,3.0,10.0,7.0,4.0,,67.0,52.0,63.0,14.0,3.0,7.0,,0.0,3,407,20.35,5.0,69.0,16%,3.0,23.0,2,0,7,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,20%,0.0,,,,,,,,,Marc Albrighton,29,England,7500000,76,2019-20
Defender,33,7.0,39.0,40.0,73%,0.0,3.0,31.0,170.0,82.0,1.0,154.0,117.0,109.0,0.0,73.0,73.0,1.0,0.0,2,"1,978",59.94,2.0,9.0,44%,12.0,141.0,7,0,18,1.0,2,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,Toby Alderweireld,30,Belgium,41000000,87,2019-20
Defender,38,12.0,32.0,55.0,62%,1.0,17.0,45.0,70.0,29.0,0.0,221.0,100.0,135.0,21.0,16.0,30.0,0.0,1.0,13,"2,440",64.21,18.0,382.0,21%,5.0,192.0,5,0,22,3.0,4,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,Trent Alexander-Arnold,20,England,32000000,83,2019-20
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Ali Koiki,19,England,260000,60,2019-20
Midfielder,36,,,60.0,65%,,19.0,31.0,16.0,7.0,,189.0,174.0,170.0,46.0,10.0,28.0,,0.0,2,829,23.03,3.0,41.0,17%,2.0,20.0,5,0,30,24.0,4,0.0,2.0,2.0,1.0,0.11,0.0,0.0,56.0,17.0,30%,9.0,,,,,,,,,Miguel Almirón,25,Paraguay,18500000,80,2019-20
Midfielder,19,,,33.0,,,6.0,14.0,11.0,9.0,,,,,,,,,,0,603,31.74,0.0,8.0,,,,1,0,17,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,23%,1.0,,,,,,,,,Steven Alzate,20,England,160000,56,2019-20
Midfielder,11,,,18.0,61%,,0.0,16.0,55.0,31.0,,39.0,38.0,31.0,2.0,16.0,13.0,,0.0,0,369,33.55,0.0,1.0,100%,0.0,15.0,1,0,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,17%,1.0,,,,,,,,,Ibrahim Amadou,26,France,12000000,78,2019-20
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Daniel Amartey,24,Ghana,4500000,73,2019-20
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Luke Amos,22,England,825000,65,2019-20
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Ethan Ampadu,18,Wales,1500000,67,2019-20
Forward,3,,,1.0,,,0.0,0.0,1.0,1.0,,,,,,,,,,0,12,4.0,0.0,0.0,,,,0,1,2,0.0,1,0.0,1.0,0.0,0.0,0.33,0.0,0.0,1.0,1.0,100%,0.0,,,,,,,,,Florin Andone,26,Romania,9500000,76,2019-20
Midfielder,19,,,22.0,68%,,0.0,7.0,6.0,4.0,,122.0,83.0,137.0,25.0,17.0,12.0,,0.0,1,851,44.79,1.0,12.0,25%,3.0,85.0,6,0,38,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0%,0.0,,,,,,,,,André Gomes,25,Portugal,17500000,80,2019-20
Midfielder,25,,,24.0,54%,,9.0,7.0,5.0,1.0,,85.0,70.0,142.0,20.0,10.0,34.0,,0.0,3,703,28.12,6.0,65.0,15%,2.0,30.0,3,0,27,3.0,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,37.0,14.0,38%,1.0,,,,,,,,,Andreas Pereira,23,Brazil,11500000,77,2019-20
Midfielder,2,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0,13,6.5,0.0,0.0,0%,1.0,2.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Angel Gomes,18,England,1800000,68,2019-20
Forward,24,,,13.0,69%,,14.0,9.0,5.0,5.0,,62.0,201.0,233.0,65.0,91.0,109.0,,0.0,3,446,18.58,7.0,48.0,21%,5.0,9.0,3,0,41,11.0,10,2.0,7.0,1.0,2.0,0.42,1.0,0.0,68.0,31.0,46%,14.0,,,,,,,,,Michail Antonio,29,England,10000000,78,2019-20
Midfielder,30,,,32.0,59%,,11.0,11.0,22.0,9.0,,106.0,95.0,131.0,30.0,14.0,30.0,,0.0,3,579,19.3,2.0,23.0,22%,2.0,12.0,4,0,25,4.0,5,0.0,3.0,2.0,0.0,0.17,0.0,0.0,46.0,20.0,43%,1.0,,,,,,,,,Stuart Armstrong,27,Scotland,7500000,75,2019-20
Goalkeeper,33,8.0,47.0,,,,,,,,,,,,,,,0.0,0.0,0,938,28.42,,,,,131.0,0,0,0,,0,,,,,,,,,,,,55.0,0.0,5.0,20.0,2.0,12.0,151.0,198.0,Kepa Arrizabalaga,24,Spain,31000000,84,2019-20
