Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,mod name,age,nationality,value_eur,overall,Season
Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,,,,,0.0,0,0,0,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ryan Allsop,25,England,525000,65,2017-18
Defender,8,3.0,7.0,8.0,50%,0.0,0.0,7.0,16.0,9.0,0.0,30.0,29.0,21.0,4.0,10.0,7.0,0.0,0.0,0,250,31.25,0.0,0.0,0%,0.0,11.0,0,1,5,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Daniel Amartey,22,Ghana,8000000,75,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Luke Amos,20,England,325000,60,2017-18
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Tom Anderson,23,England,500000,64,2017-18
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Tom Anderson,18,England,60000,50,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Andreas Pereira,21,Brazil,14000000,77,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Angel Gomes,16,England,800000,63,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Vurnon Anita,28,Netherlands,1900000,71,2017-18
Forward,21,,,15.0,60%,,11.0,13.0,14.0,7.0,,71.0,139.0,158.0,51.0,43.0,55.0,,0.0,1,385,18.33,1.0,55.0,22%,3.0,22.0,1,0,17,7.0,3,0.0,3.0,0.0,0.0,0.14,0.0,0.0,34.0,15.0,44%,1.0,,,,,,,,,Michail Antonio,27,England,17500000,80,2017-18
Midfielder,18,,,36.0,72%,,8.0,12.0,20.0,9.0,,83.0,75.0,101.0,14.0,12.0,31.0,,0.0,1,353,19.61,0.0,8.0,25%,1.0,3.0,3,0,21,1.0,2,0.0,1.0,1.0,1.0,0.11,0.0,0.0,18.0,7.0,39%,1.0,,,,,,,,,Scott Arfield,28,Canada,4000000,73,2017-18
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Adam Armstrong,20,England,1700000,68,2017-18
Midfielder,13,,,19.0,84%,,6.0,9.0,5.0,0.0,,66.0,44.0,39.0,4.0,6.0,2.0,,0.0,0,586,45.08,0.0,5.0,0%,1.0,37.0,4,0,9,0.0,1,0.0,0.0,1.0,0.0,0.08,0.0,0.0,11.0,1.0,9%,0.0,,,,,,,,,Harry Arter,27,Republic of Ireland,10000000,77,2017-18
Midfielder,28,,,17.0,94%,,11.0,13.0,20.0,10.0,,107.0,84.0,165.0,28.0,13.0,68.0,,0.0,2,448,16.0,5.0,57.0,11%,1.0,8.0,1,0,10,6.0,2,0.0,0.0,2.0,0.0,0.07,0.0,0.0,35.0,12.0,34%,3.0,,,,,,,,,Christian Atsu,25,Ghana,8500000,75,2017-18
Forward,13,,,5.0,,,7.0,3.0,7.0,2.0,,,,,,,,,,4,317,24.38,1.0,16.0,,,,0,0,1,10.0,10,0.0,7.0,3.0,0.0,0.77,1.0,0.0,31.0,19.0,61%,6.0,,,,,,,,,Pierre-Emerick Aubameyang,28,Gabon,61000000,88,2017-18
Defender,17,6.0,12.0,48.0,56%,1.0,3.0,31.0,48.0,33.0,0.0,89.0,127.0,91.0,15.0,48.0,29.0,0.0,0.0,2,776,45.65,5.0,68.0,9%,1.0,26.0,1,1,21,2.0,2,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,Serge Aurier,24,Ivory Coast,19000000,81,2017-18
Forward,24,,,7.0,,,8.0,1.0,10.0,4.0,,,,,,,,,,0,244,10.17,1.0,2.0,,,,2,0,16,14.0,7,3.0,4.0,0.0,2.0,0.29,1.0,0.0,48.0,25.0,52%,9.0,,,,,,,,,Charlie Austin,27,England,11000000,78,2017-18
Forward,36,,,82.0,,,26.0,24.0,17.0,10.0,,,,,,,,,,2,835,23.19,1.0,45.0,,,,2,1,63,8.0,7,1.0,4.0,2.0,4.0,0.19,1.0,0.0,66.0,21.0,32%,6.0,,,,,,,,,Jordan Ayew,25,Ghana,10000000,76,2017-18
Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,,,,,0.0,0,0,0,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Daniel Bachmann,22,Austria,375000,62,2017-18
Defender,13,7.0,6.0,17.0,59%,0.0,1.0,25.0,56.0,14.0,0.0,58.0,47.0,30.0,4.0,17.0,8.0,1.0,0.0,0,426,32.77,0.0,0.0,0%,1.0,18.0,2,0,10,0.0,1,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,Eric Bailly,23,Ivory Coast,35500000,84,2017-18
Defender,22,5.0,34.0,25.0,52%,0.0,1.0,25.0,47.0,15.0,0.0,87.0,64.0,48.0,8.0,14.0,20.0,0.0,0.0,3,754,34.27,4.0,75.0,28%,0.0,28.0,1,0,7,1.0,2,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,Leighton Baines,32,England,12500000,82,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Lewis Baker,22,England,8000000,74,2017-18
Forward,2,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,7,3.5,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Sam Baldock,28,England,1800000,70,2017-18
Defender,13,4.0,13.0,17.0,94%,0.0,0.0,22.0,66.0,32.0,1.0,61.0,65.0,67.0,3.0,29.0,27.0,0.0,0.0,0,418,32.15,0.0,19.0,37%,0.0,29.0,5,0,22,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Phil Bardsley,32,Scotland,1700000,72,2017-18
