Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,mod name,age,nationality,value_eur,overall,Season
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Tom Anderson,24,England,500000,64,2018-19
Forward,23,,,10.0,,,6.0,3.0,12.0,5.0,,,,,,,,,,0,165,7.17,0.0,5.0,,,,5,0,28,4.0,3,2.0,1.0,0.0,0.0,0.13,0.0,0.0,19.0,8.0,42%,3.0,,,,,,,,,Florin Andone,25,Romania,11500000,77,2018-19
Midfielder,27,,,39.0,59%,,5.0,20.0,18.0,11.0,,178.0,140.0,192.0,40.0,38.0,32.0,,0.0,1,"1,200",44.44,1.0,16.0,19%,1.0,95.0,7,0,49,0.0,1,0.0,1.0,0.0,0.0,0.04,0.0,0.0,21.0,5.0,24%,1.0,,,,,,,,,André Gomes,24,Portugal,19500000,80,2018-19
Midfielder,15,,,8.0,75%,,5.0,11.0,7.0,3.0,,46.0,23.0,55.0,7.0,3.0,13.0,,1.0,1,353,23.53,2.0,12.0,25%,1.0,12.0,5,0,12,1.0,1,0.0,1.0,0.0,0.0,0.07,0.0,0.0,8.0,2.0,25%,0.0,,,,,,,,,Andreas Pereira,22,Brazil,14000000,78,2018-19
Midfielder,2,,,1.0,0%,,0.0,0.0,0.0,0.0,,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,0,21,10.5,0.0,1.0,0%,0.0,1.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50%,0.0,,,,,,,,,Angel Gomes,17,England,1400000,66,2018-19
Forward,33,,,23.0,61%,,11.0,18.0,21.0,7.0,,114.0,204.0,251.0,58.0,80.0,105.0,,0.0,4,668,20.24,6.0,50.0,12%,5.0,26.0,3,0,34,10.0,6,3.0,2.0,1.0,6.0,0.18,0.0,0.0,65.0,25.0,38%,5.0,,,,,,,,,Michail Antonio,28,England,8000000,76,2018-19
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Adam Armstrong,21,England,1600000,68,2018-19
Goalkeeper,36,14.0,39.0,,,,,,,,,,,,,,,0.0,0.0,0,"1,003",27.86,,,,,188.0,2,0,0,,0,,,,,,,,,,,,82.0,1.0,10.0,11.0,7.0,9.0,156.0,256.0,Kepa Arrizabalaga,23,Spain,28500000,83,2018-19
Midfielder,25,,,62.0,60%,,8.0,21.0,20.0,7.0,,128.0,85.0,75.0,3.0,6.0,14.0,,2.0,1,658,26.32,1.0,17.0,35%,3.0,42.0,10,0,25,2.0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,5.0,22%,0.0,,,,,,,,,Harry Arter,28,Republic of Ireland,7500000,76,2018-19
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Daniel Arzani,19,Australia,2300000,69,2018-19
